namespace,symbol,type,keyword
clojure.core,*,function,:OPERATOR
clojure.core,*',function,:OPERATOR
clojure.core,*1,dynamic,:KEYWORD4
clojure.core,*2,dynamic,:KEYWORD4
clojure.core,*3,dynamic,:KEYWORD4
clojure.core,*agent*,earmuff,:KEYWORD4
clojure.core,*allow-unresolved-vars*,earmuff,(ignored)
clojure.core,*assert*,earmuff,(ignored)
clojure.core,*clojure-version*,dynamic,:KEYWORD4
clojure.core,*command-line-args*,earmuff,:KEYWORD4
clojure.core,*compile-files*,earmuff,:KEYWORD4
clojure.core,*compile-path*,earmuff,:KEYWORD4
clojure.core,*compiler-options*,earmuff,:KEYWORD4
clojure.core,*data-readers*,dynamic,:KEYWORD4
clojure.core,*default-data-reader-fn*,dynamic,:KEYWORD4
clojure.core,*e,dynamic,:KEYWORD4
clojure.core,*err*,earmuff,:KEYWORD4
clojure.core,*file*,earmuff,:KEYWORD4
clojure.core,*flush-on-newline*,earmuff,:KEYWORD4
clojure.core,*fn-loader*,earmuff,(ignored)
clojure.core,*in*,earmuff,:KEYWORD4
clojure.core,*math-context*,earmuff,(ignored)
clojure.core,*ns*,earmuff,:KEYWORD4
clojure.core,*out*,earmuff,:KEYWORD4
clojure.core,*print-dup*,earmuff,:KEYWORD4
clojure.core,*print-length*,dynamic,:KEYWORD4
clojure.core,*print-level*,dynamic,:KEYWORD4
clojure.core,*print-meta*,earmuff,:KEYWORD4
clojure.core,*print-readably*,earmuff,:KEYWORD4
clojure.core,*read-eval*,earmuff,:KEYWORD4
clojure.core,*source-path*,earmuff,(ignored)
clojure.core,*unchecked-math*,earmuff,:KEYWORD4
clojure.core,*use-context-classloader*,earmuff,(ignored)
clojure.core,*verbose-defrecords*,dynamic,(ignored)
clojure.core,*warn-on-reflection*,earmuff,:KEYWORD4
clojure.core,+,function,:OPERATOR
clojure.core,+',function,:OPERATOR
clojure.core,-,function,:OPERATOR
clojure.core,-',function,:OPERATOR
clojure.core,->,macro,:OPERATOR
clojure.core,->>,macro,:OPERATOR
clojure.core,->ArrayChunk,function,[unknown]
clojure.core,->Vec,function,[unknown]
clojure.core,->VecNode,function,[unknown]
clojure.core,->VecSeq,function,[unknown]
clojure.core,-cache-protocol-fn,function,(ignored)
clojure.core,-reset-methods,function,(ignored)
clojure.core,..,macro,:KEYWORD3
clojure.core,/,function,:OPERATOR
clojure.core,<,function,:OPERATOR
clojure.core,<=,function,:OPERATOR
clojure.core,=,function,:OPERATOR
clojure.core,==,function,:OPERATOR
clojure.core,>,function,:OPERATOR
clojure.core,>=,function,:OPERATOR
